Which place is not associated with a type of cake? ; Madeira ; Middlesbrough ; Eccles ; Dundee ; B
Which planet in the solar system is nearest the sun? ; Earth ; Mercury ; Mars ; Venus ; B
Which pop music legend is respectfully remembered as "The King"? ; Buddy Holly ; Elvis Presley ; Jimi Hendrix ; Jim Morrison ; B
Which Shakespeare play features the Montague and Capulet families? ; Hamlet ; Macbeth ; Romeo and Juliet ; The Tempest ; C
Which show took place between 6th-9th March 2004 at the NEC, Birmingham? ; Toffs ; Cuffs ; Crufts ; Lifts ; A
Which sign of the zodiac is represented by the Crab? ; Virgo ; Libra ; Cancer ; Sagittarius ; C
Which sporting goods company takes its name from the Greek goddess of victory? ; Adidas ; Kappa ; Mitre ; Nike ; D
Which superhero is associated with Castle Grayskull? ; Green Lantern ; Hawkgirl ; Nightcrawler ; He-Man ; D
Which term means replacing a telephone receiver at the end of a call? ; Jump up ; Hang up ; Toss up ; Play up ; B
Which TV programme would you most expect to see Jeremy Clarkson presenting? ; Newsnight ; Ground Force ; Top Gear ; Antiques Roadshow ; C
Which was a famous group of high-kicking stage dancers? ; Checkout Girls ; Cashpoint Girls ; Tiller Girls ; Turnstile Girls ; C
Which word describes a group of retail outlets with a common owner? ; Chain ; Fetter ; Shackle ; Bond ; A
Which word follows "North" and "South" to give the names of two continents? ; Africa ; America ; Asia ; Australia ; B
Which word goes before "States of America" to give the name of a country? ; Joined ; Agreed ; United ; Harmonious ; C
Which would not be awarded in the New Year's Honours List? ; QBE ; MBE ; OBE ; CBE ; A
Who has the authority to change a ball during a football match? ; Sky Sports ; The home team ; Alex Ferguson ; The referee ; D
Who is a co-founder of music streaming service Spotify? ; Sean Parker ; Daniel Ek ; Felix Miller ; Michael Breidenbruecker ; B
Who plays the mighty warrior and healer character named Xena Warrior Princess? ; Hudson Leick ; Lucy Lawless ; Renee O'Connor ; Adrienne Wilkinson ; B
Who sings for his supper in a nursery rhyme? ; Freddie Folder ; Chris Creaser ; Peter Pleater ; Tommy Tucker ; D
Who was confirmed as the player-manager of Millwall FC in November 2003? ; Dennis Clever ; Dennis Sage ; Dennis Wise ; Dennis Smart ; C
Who won his sixth World Drivers title in October 2003? ; Michael Crawford ; Michael Owen ; Michael Barrymore ; Michael Schumacher ; D
Who wrote the 2011 erotic romance novel, "Fifty Shades of Grey"? ; Anne Rice ; E. L. James ; Christian Grey ; Danielle Steele ; B
Who wrote the cartoon strip Calvin and Hobbes? ; Walt Kelly ; Bill Watterson ; Charles Schulz ; George Herriman ; B
Whose return to "EastEnders" in 2004 sparked a 560 megawatt power surge on the national grid? ; Filthy Fred ; Smutty Sam ; Grubby Gordon ; Dirty Den ; D
With which football club was David Beckham's name not linked in 2003? ; Barcelona ; Scunthorpe United ; AC Milan ; Real Madrid ; B
With which of these did Wham! have a UK Top 10 hit in 1984? ; Last Christmas ; Last New Year ; Last Easter ; Last Summer ; A
